,metric_source,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,4.5,4.63636363636363,4.375,4.85714285714285,5.0,4.86666666666666,5.0,5.0,4.7
1,caseloads_months,27.0,86.0,139.0,185.0,199.0,211.0,226.0,239.0,237.0,266.0
2,chart_review_months,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,documentation_rates_months,0.96875,0.9875,0.992063492063492,1.0,0.968503937007874,1.0,0.987341772151898,0.993421052631579,1.0,0.989949748743718
4,mic_utilization_rate_months,0.0,0.0,0.0,1.0,0.663551401869158,0.668831168831168,0.683870967741935,0.771241830065359,0.829629629629629,0.834254143646408
5,miss_streak__average_responses_agg_month,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,miss_streak__documentation_rates_months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0
10,total_num_metric_target_met,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
