,metric_source,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,4.5,4.5,4.71428571428571,3.75,4.28571428571428,4.55555555555555
1,caseloads_months,6.0,81.0,145.0,186.0,215.0,225.0,255.0
2,chart_review_months,0.0,0.0,0.833333333333333,0.0,0.0,0.0,0.666666666666666
3,documentation_rates_months,0.857142857142857,0.99,0.980132450331125,0.929824561403508,0.930817610062893,0.959537572254335,0.817258883248731
4,mic_utilization_rate_months,0.0,0.59090909090909,0.777027027027027,0.870967741935483,0.888059701492537,0.939597315436241,0.903743315508021
5,miss_streak__average_responses_agg_month,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0
7,miss_streak__chart_review_months,1.0,2.0,0.0,1.0,2.0,3.0,4.0
8,miss_streak__documentation_rates_months,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,0.0,0.0,0.0,0.0
10,total_num_metric_target_met,0.0,2.0,3.0,3.0,2.0,3.0,2.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,0.0,0.0,1.0,0.0,1.0
