,metric_source,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,4.0,4.0,3.71428571428571,0.0
1,caseloads_months,6.0,59.0,122.0,130.0,90.0
2,chart_review_months,0.0,0.0,0.0,0.0,0.0
3,documentation_rates_months,0.2,0.367647058823529,0.739130434782608,0.627906976744186,0.0
4,mic_utilization_rate_months,0.833333333333333,0.964912280701754,1.0,1.0,0.0
5,miss_streak__average_responses_agg_month,1.0,0.0,0.0,1.0,2.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,5.0
8,miss_streak__documentation_rates_months,1.0,2.0,3.0,4.0,5.0
9,miss_streak__mic_utilization_rate_months,0.0,0.0,0.0,0.0,1.0
10,total_num_metric_target_met,1.0,2.0,2.0,1.0,0.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0
