,metric_source,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,0.0,4.0,4.88461538461538,4.83333333333333,4.57142857142857,5.0,4.9090909090909,4.5,5.0,4.9
1,caseloads_months,255.0,258.0,284.0,289.0,285.0,295.0,286.0,287.0,286.0,304.0,292.0,272.0
2,chart_review_months,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,documentation_rates_months,1.0,1.0,1.0,0.99236641221374,1.0,1.0,0.991071428571428,1.0,0.994708994708994,0.994444444444444,0.987730061349693,0.992248062015503
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.0,0.988095238095238,0.977011494252873,1.0,0.992857142857142,1.0,1.0
5,miss_streak__average_responses_agg_month,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,miss_streak__documentation_rates_months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10,total_num_metric_target_met,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
