,metric_source,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,4.64705882352941,4.68965517241379,4.84210526315789,4.84210526315789,4.94444444444444,4.94117647058823
1,caseloads_months,7.0,103.0,183.0,236.0,250.0,275.0,292.0
2,chart_review_months,0.0,1.0,1.0,1.0,0.0,0.666666666666666,0.666666666666666
3,documentation_rates_months,0.727272727272727,0.931623931623931,0.953757225433526,0.939226519337016,0.890173410404624,0.918367346938775,0.95067264573991
4,mic_utilization_rate_months,0.0,0.861702127659574,0.885135135135135,0.878048780487804,0.891891891891891,0.916666666666666,0.917475728155339
5,miss_streak__average_responses_agg_month,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0
7,miss_streak__chart_review_months,1.0,0.0,0.0,0.0,1.0,2.0,3.0
8,miss_streak__documentation_rates_months,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,total_num_metric_target_met,0.0,4.0,4.0,4.0,2.0,3.0,3.0
11,num_month_streak_metric_total_missed_target,1.0,0.0,0.0,0.0,1.0,0.0,0.0
