,metric_source,2024-07,2024-08
0,average_responses_agg_month,4.2,5.0
1,caseloads_months,31.0,32.0
2,chart_review_months,0.0,0.0
3,documentation_rates_months,0.88235294117647,0.0
4,mic_utilization_rate_months,0.714285714285714,0.0
5,miss_streak__average_responses_agg_month,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0
7,miss_streak__chart_review_months,1.0,2.0
8,miss_streak__documentation_rates_months,1.0,2.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0
10,total_num_metric_target_met,1.0,1.0
11,num_month_streak_metric_total_missed_target,1.0,2.0
