,metric_source,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,0.0,0.0,4.94444444444444,4.88888888888888,5.0,4.6,4.88888888888888,0.0,5.0,4.85714285714285
1,caseloads_months,274.0,285.0,304.0,298.0,285.0,261.0,243.0,223.0,221.0,220.0,204.0,206.0
2,chart_review_months,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,documentation_rates_months,0.926315789473684,0.797619047619047,0.755868544600939,0.548192771084337,0.715686274509803,0.652542372881356,0.434782608695652,0.791304347826086,0.733812949640287,0.40566037735849,0.656716417910447,0.714285714285714
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.5,0.362068965517241,0.585585585585585,0.6328125,0.74,0.818897637795275,0.839694656488549
5,miss_streak__average_responses_agg_month,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,5.0,6.0,0.0,1.0,2.0,3.0,0.0,1.0
8,miss_streak__documentation_rates_months,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
10,total_num_metric_target_met,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,1.0
