,metric_source,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,5.0,3.91666666666666,4.38461538461538,4.64285714285714,4.5,4.76923076923076,3.4,4.0,3.5
1,caseloads_months,11.0,78.0,128.0,180.0,217.0,232.0,227.0,238.0,239.0,220.0,231.0
2,chart_review_months,0.0,0.0,0.0,0.0,0.666666666666666,0.666666666666666,0.0,1.0,1.0,0.0,1.0
3,documentation_rates_months,0.6,0.935779816513761,0.982758620689655,0.981366459627329,0.987654320987654,0.960227272727272,0.98342541436464,0.995260663507109,1.0,0.992248062015503,0.99492385786802
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.579710144927536,0.486666666666666,0.55813953488372,0.507692307692307,0.596153846153846,0.809248554913294
5,miss_streak__average_responses_agg_month,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,0.0,1.0,0.0
8,miss_streak__documentation_rates_months,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0
10,total_num_metric_target_met,0.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,1.0,2.0,0.0
