,metric_source,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,5.0,3.11111111111111,2.63636363636363,2.83333333333333,2.42857142857142,2.5,3.5,3.35294117647058,3.125
1,caseloads_months,13.0,74.0,110.0,149.0,187.0,174.0,213.0,198.0,258.0,273.0,276.0
2,chart_review_months,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.666666666666666,0.75
3,documentation_rates_months,0.941176470588235,0.738095238095238,0.63235294117647,0.821428571428571,0.986301369863013,0.741935483870967,0.943661971830985,0.975206611570247,0.963768115942028,0.994535519125683,0.968354430379746
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.0,0.265486725663716,0.260416666666666,0.4,0.386206896551724,0.534351145038167
5,miss_streak__average_responses_agg_month,1.0,2.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0
8,miss_streak__documentation_rates_months,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
10,total_num_metric_target_met,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
