,metric_source,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,4.94736842105263,5.0,4.55555555555555,4.9090909090909
1,caseloads_months,4.0,77.0,147.0,187.0,224.0
2,chart_review_months,0.0,0.0,0.0,0.0,1.0
3,documentation_rates_months,1.0,0.90625,0.974193548387096,0.980392156862745,0.960227272727272
4,mic_utilization_rate_months,0.25,0.253012048192771,0.649253731343283,0.767441860465116,0.838709677419354
5,miss_streak__average_responses_agg_month,1.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,0.0
8,miss_streak__documentation_rates_months,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,0.0
10,total_num_metric_target_met,1.0,2.0,2.0,2.0,4.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,0.0
